ID, name, year, poster, trailer, status, director, nation, duration, gernes, view, like, star
0, TÔI LÀ BẤT TỬ, 2021, Movie\Picture\toi-la-bat-tu-63136-thumbnail-250x350.jpg, Movie\I Am Mortal 2021 Trailer.mp4, HD Vietsub + Thuyết minh, Tony Aloupis, Mỹ, 82, Viễn tưởng, 152, 152, 6
1, Deadly House Call, 2022, Movie\Picture\cuoc-goi-den-chet-nguoi-63215-thumbnail.jpg, Movie\I Am Mortal 2021 Trailer.mp4, HD Vietsub + Thuyết minh, Max McGuire, Canada-Mỹ, 87, Giật Gân, 34, 34, 7
2, FOUND WANDERING LOST, 2022, Movie\Picture\found-wandering-lost-63210-thumbnail-250x350.jpg, Movie\FOUND WANDERING LOST - official trailer.mp4, HD Vietsub + Thuyết minh, Nicholaus James, Mỹ, 99, Giật Gân, 25, 25, 6
3, BỒI THƯỜNG, 2021, Movie\Picture\boi-thuong-63208-thumbnail-250x350.jpg, Movie\Indemnity - Official Trailer.mp4, HD Vietsub + Thuyết minh, Travis Taute, Nam Phi, 124, Giật Gân_Hành Động, 46, 46, 8
4, MUNICH: BỜ VỰC CHIẾN TRANH, 2022, Movie\Picture\munich-bo-vuc-chien-tranh-63206-thumbnail-250x350.jpg, Movie\Munich - The Edge of War _ Official Trailer _ Netflix.mp4, HD Vietsub + Thuyết minh, Đang cập nhật, Mỹ, 123, Netflix_Tâm Lý, 38, 38, 9
5, KHỦNG LONG ĐỘT BIẾN, 2022, Movie\Picture\khung-long-dot-bien-63196-thumbnail-250x350.jpg, Movie\Khung long dot bien Trailer.mp4, HD Vietsub, Trần Lượng Ngôn, Trung Quốc, 71, Hành Động_Phiêu Lưu_Viễn Tưởng, 227, 227, 5
6, X, 2022, Movie\Picture\x-63189-thumbnail-250x350.jpg, Movie\X - Official Trailer (2022).mp4, CAM Vietsub + Thuyết minh, Ti West, Mỹ, 95, Kinh Dị, 297, 297, 3
